id,category,query1,query2,label
0,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1
1,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后为什么会咯血？,1
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，应该怎么处理？,0
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，需要就医吗？,0
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，是否很严重？,0
2,咳血,剧烈运动后咯血是什么原因？,剧烈运动后为什么会咯血？,1
3,咳血,剧烈运动后咯血是什么原因？,剧烈运动后咯血，应该怎么处理？,0
9,咳血,百令胶囊需要注意什么？,百令胶囊有什么注意事项？,1
10,咳血,百令胶囊需要注意什么？,服用百令胶囊有什么需要特别注意的吗？,1
11,咳血,百令胶囊需要注意什么？,百令胶囊如何服用？,0
11,咳血,百令胶囊需要注意什么？,百令胶囊效果好吗？,0
11,咳血,百令胶囊需要注意什么？,百令胶囊需要如何服用？,0
11,咳血,百令胶囊有什么注意事项？,服用百令胶囊有什么需要特别注意的吗？,1
12,咳血,百令胶囊有什么注意事项？,百令胶囊如何服用？,0
18,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少寿命？,1
19,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少时间？,1
20,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治疗吗？,0
20,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期该怎么办？,0
20,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治好吗？,0
20,咳血,肝癌兼肺癌晚期还有多少寿命？,肝癌兼肺癌晚期还有多少时间？,1
21,咳血,肝癌兼肺癌晚期还有多少寿命？,肝癌兼肺癌晚期能治疗吗？,0
27,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是怎么回事？,1
28,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么情况？,1
29,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年需要治病吗？,0
29,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年怎么处理？,0
29,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么原因导致的？,0
29,咳血,咳嗽咯血半年是怎么回事？,咳嗽咯血半年是什么情况？,1
30,咳血,咳嗽咯血半年是怎么回事？,咳嗽咯血半年需要治病吗？,0
36,咳血,百令胶囊能长期服用吗?,百令胶囊是否可以长时间服用?,1
37,咳血,百令胶囊能长期服用吗?,百令胶囊长时间服用会有问题吗?,1
38,咳血,百令胶囊能长期服用吗?,百令胶囊能和其他药物一起服用吗?,0
38,咳血,百令胶囊能长期服用吗?,百令胶囊怎么服用?,0
38,咳血,百令胶囊能长期服用吗?,百令胶囊的服用方法是什么?,0
38,咳血,百令胶囊是否可以长时间服用?,百令胶囊长时间服用会有问题吗?,1
39,咳血,百令胶囊是否可以长时间服用?,百令胶囊能和其他药物一起服用吗?,0
45,咳血,我国最常见的咯血原因是什么?,我国主要的咯血原因是什么?,1
46,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么导致的?,1
47,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血有哪些?,0
47,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血的种类有多少?,0
